,E1,E2,W1,W2,N1,N2,S1,S2,Central,NE,NW,SE,SW
86,564.6,223.0,182.482,563.89,381.949,360.0,187.789,301.955,545.327,381.0,461.0,408.0,249.0
87,390.237,280.0,328.467,468.285,218.388,319.0,164.702,376.397,270.079,494.0,291.0,336.0,320.0
88,429.693,608.0,277.948,447.329,301.957,362.0,312.5,285.233,436.775,400.0,490.0,319.0,379.0
89,112.36,304.0,344.306,398.73,411.985,366.0,116.462,292.517,345.301,215.0,261.0,354.0,176.0
90,196.629,244.0,330.489,261.779,368.871,265.0,156.25,345.299,486.891,321.0,253.0,233.0,224.0
91,196.629,230.0,326.433,222.127,190.975,563.0,265.574,227.817,385.604,942.0,419.0,453.0,541.0
92,280.899,166.0,474.453,408.912,322.184,277.0,265.574,270.077,436.775,626.0,430.0,438.0,379.0
93,280.899,264.0,427.179,444.254,251.244,358.0,303.695,864.668,413.684,490.0,619.0,303.0,463.0
94,224.719,169.0,510.949,314.135,251.244,251.0,368.285,374.529,292.519,358.0,348.0,373.0,541.0
95,564.6,309.0,547.445,471.203,224.719,392.0,260.417,339.151,368.871,246.0,173.0,367.0,492.0
96,402.186,207.0,451.435,209.423,262.172,695.0,471.635,292.517,488.33,266.0,288.0,335.0,486.0
97,586.534,332.0,474.453,680.626,449.438,409.0,445.0,339.151,581.43,375.0,383.0,194.0,276.0
98,112.36,118.0,328.467,680.626,320.0,248.0,468.75,385.601,405.118,539.0,244.0,291.0,487.0
99,163.791,360.0,437.956,628.27,683.456,410.0,214.745,711.605,654.092,360.0,188.0,279.0,645.0
100,233.532,669.825,,234.142,154.423,238.923,536.231,374.529,149.813,396.488,290.004,562.172,564.333
101,215.306,280.359,,215.869,187.266,769.236,312.5,149.812,239.817,241.356,323.937,470.497,262.618
102,369.246,268.733,,314.135,503.881,291.427,429.49,524.341,270.079,417.085,477.9,338.199,399.043
103,472.866,239.697,,471.203,285.235,320.982,,,285.235,254.237,279.159,637.838,300.445
104,266.267,196.729,,209.423,167.496,320.982,,,662.614,300.287,351.359,250.289,356.062
105,330.264,229.927,,390.95,262.172,389.564,,,585.037,152.123,310.56,255.163,262.618
106,165.132,338.983,,171.764,322.184,477.845,,,345.301,227.747,310.56,355.945,473.442
107,266.267,640.301,,157.068,301.957,527.692,,,457.174,367.232,410.128,268.601,318.471
108,208.877,653.731,,1193.897,503.881,412.14,,,385.604,266.497,196.416,286.358,159.236
109,261.097,321.808,,,270.079,422.153,,,503.881,225.989,527.77,199.421,503.547
110,215.306,203.703,,,423.734,316.615,,,486.891,203.703,316.711,344.387,360.309
111,532.535,304.247,,,270.079,403.606,,,521.662,282.486,439.198,291.232,327.886
112,417.755,286.846,,,211.867,374.995,,,503.881,340.158,295.277,293.039,513.52
113,469.974,381.327,,,187.266,352.014,,,427.032,582.36,279.159,252.389,318.471
114,481.438,266.33,,,187.266,425.439,,,411.985,361.758,279.159,150.079,213.637
115,313.316,539.278,,,239.817,538.142,,,503.881,431.196,316.711,193.145,300.445
116,215.306,133.165,555.0,560.0,262.172,353.986,483.176,352.0,502.487,505.326,433.896,199.421,414.013
117,317.638,403.031,398.0,852.0,427.032,352.014,370.579,464.0,455.638,282.486,277.773,339.757,338.54
118,417.755,239.697,298.0,414.0,292.519,263.846,521.159,341.0,227.819,361.758,377.813,384.922,574.132
119,261.097,262.305,380.0,398.0,301.957,507.518,314.932,373.0,391.023,736.633,385.895,244.6,284.849
120,365.535,378.995,377.0,747.0,405.118,455.468,390.625,360.0,345.301,164.716,235.699,244.6,350.318
121,233.532,304.247,477.0,414.0,264.834,380.524,429.688,494.0,457.174,232.944,216.948,302.495,486.125
122,376.559,252.663,472.0,618.0,201.692,422.153,390.625,315.0,374.532,542.638,223.948,232.048,272.102
123,421.006,444.46,466.0,463.0,272.663,425.439,384.721,360.0,605.075,463.311,196.416,240.244,95.541
124,208.877,186.431,363.0,328.0,227.819,384.165,390.625,333.0,218.388,203.703,222.219,623.609,162.389
